iter	Passed	Remaining
438	1327	1696
439	1330	1693
440	1332	1689
441	1334	1684
442	1336	1680
443	1339	1676
444	1341	1672
445	1343	1668
446	1345	1664
447	1347	1660
448	1349	1655
449	1351	1651
450	1353	1647
451	1355	1643
452	1357	1638
453	1359	1634
454	1361	1630
455	1364	1627
456	1366	1624
457	1369	1620
458	1372	1617
459	1373	1612
460	1375	1608
461	1378	1605
462	1380	1601
463	1382	1597
464	1385	1593
465	1387	1589
466	1390	1586
467	1393	1583
468	1395	1580
469	1397	1576
470	1400	1572
471	1403	1569
472	1404	1565
473	1406	1561
474	1408	1557
475	1411	1553
476	1413	1549
477	1415	1546
478	1418	1542
479	1420	1538
480	1422	1535
481	1424	1531
482	1427	1527
483	1429	1524
484	1431	1520
485	1434	1516
486	1436	1512
487	1450	1521
488	1454	1520
489	1457	1516
490	1462	1516
491	1466	1514
492	1470	1511
493	1476	1512
494	1482	1512
495	1488	1512
496	1490	1508
497	1497	1509
498	1501	1507
499	1507	1507
500	1510	1504
501	1513	1501
502	1516	1498
503	1519	1495
504	1522	1492
505	1524	1488
506	1526	1484
507	1529	1481
508	1532	1477
509	1534	1474
510	1537	1471
511	1539	1467
512	1543	1465
513	1545	1461
514	1548	1457
515	1550	1453
516	1552	1449
517	1553	1445
518	1556	1442
519	1558	1438
520	1560	1434
521	1562	1430
522	1564	1426
523	1566	1423
524	1568	1419
525	1572	1416
526	1574	1413
527	1576	1409
528	1579	1405
529	1581	1402
530	1582	1398
531	1585	1394
532	1587	1390
533	1589	1386
534	1592	1383
535	1594	1380
536	1596	1376
537	1598	1372
538	1600	1368
539	1602	1365
540	1605	1361
541	1607	1357
542	1608	1354
543	1611	1350
544	1613	1347
545	1616	1344
546	1618	1340
547	1620	1336
548	1622	1332
549	1624	1329
550	1626	1325
551	1628	1321
552	1630	1318
553	1632	1314
554	1634	1310
555	1636	1306
556	1638	1303
557	1640	1299
558	1642	1295
559	1644	1291
560	1646	1288
561	1648	1284
562	1650	1281
563	1652	1277
564	1655	1274
565	1657	1270
566	1659	1267
567	1661	1263
568	1663	1259
569	1665	1256
570	1667	1253
571	1669	1249
572	1672	1246
573	1674	1242
574	1676	1238
575	1678	1235
576	1680	1232
577	1682	1228
578	1684	1224
579	1687	1221
580	1688	1218
581	1691	1214
582	1694	1211
583	1696	1208
584	1699	1205
585	1701	1202
586	1704	1198
587	1706	1195
588	1708	1191
589	1710	1188
590	1712	1185
591	1714	1181
592	1716	1178
593	1719	1175
594	1721	1171
595	1724	1168
596	1726	1165
597	1728	1161
598	1730	1158
599	1732	1154
600	1734	1151
601	1736	1148
602	1738	1144
603	1741	1141
604	1743	1138
605	1745	1135
606	1748	1131
607	1750	1128
608	1752	1125
609	1755	1122
610	1757	1119
611	1759	1115
612	1762	1112
613	1764	1109
614	1769	1107
615	1771	1104
616	1773	1100
617	1775	1097
618	1777	1094
619	1780	1090
620	1782	1087
621	1784	1084
622	1787	1081
623	1789	1078
624	1791	1074
625	1794	1071
626	1796	1068
627	1798	1065
628	1801	1062
629	1803	1059
630	1806	1056
631	1809	1053
632	1813	1051
633	1817	1049
634	1820	1046
635	1822	1043
636	1825	1040
637	1828	1037
638	1831	1034
639	1834	1031
640	1837	1029
641	1840	1026
642	1843	1023
643	1846	1020
644	1849	1017
645	1852	1014
646	1856	1012
647	1858	1009
648	1861	1006
649	1863	1003
650	1866	1000
651	1869	997
652	1872	995
653	1875	991
654	1876	988
655	1880	985
656	1882	982
657	1885	980
658	1887	976
659	1889	973
660	1893	970
661	1895	967
662	1898	964
663	1900	961
664	1903	959
665	1906	956
666	1908	953
667	1911	950
668	1914	947
669	1916	943
670	1919	941
671	1921	938
672	1925	935
673	1929	933
674	1932	930
675	1934	927
676	1936	924
677	1939	921
678	1942	918
679	1944	915
680	1946	911
681	1949	908
682	1951	905
683	1953	902
684	1957	899
685	1959	896
686	1961	893
687	1964	890
688	1966	887
689	1968	884
690	1971	881
691	1973	878
692	1975	875
693	1977	871
694	1979	868
695	1981	865
696	1983	862
697	1985	859
698	1987	856
699	1990	852
700	1993	850
701	1996	847
702	1998	844
703	2001	841
704	2003	838
705	2005	835
706	2007	831
707	2009	828
708	2011	825
709	2013	822
710	2015	819
711	2017	816
712	2020	813
713	2022	810
714	2024	806
715	2026	803
716	2029	800
717	2031	797
718	2033	794
719	2035	791
720	2037	788
721	2039	785
722	2041	782
723	2043	779
724	2045	776
725	2048	772
726	2049	769
727	2051	766
728	2053	763
729	2056	760
730	2057	757
731	2060	754
732	2062	751
733	2063	747
734	2066	745
735	2069	742
736	2071	739
737	2073	736
738	2075	732
739	2077	729
740	2079	726
741	2080	723
742	2082	720
743	2084	717
744	2087	714
745	2089	711
746	2091	708
747	2094	705
748	2095	702
749	2098	699
750	2100	696
751	2102	693
752	2104	690
753	2106	687
754	2109	684
755	2111	681
756	2114	678
757	2116	675
758	2118	672
759	2121	670
760	2125	667
761	2127	664
762	2129	661
763	2131	658
764	2133	655
765	2135	652
766	2137	649
767	2139	646
768	2142	643
769	2144	640
770	2147	637
771	2149	634
772	2152	632
773	2154	629
774	2156	626
775	2158	623
776	2161	620
777	2163	617
778	2165	614
779	2167	611
780	2169	608
781	2171	605
782	2173	602
783	2175	599
784	2178	596
785	2180	593
786	2181	590
787	2183	587
788	2186	584
789	2188	581
790	2190	578
791	2193	575
792	2195	573
793	2197	570
794	2199	567
795	2202	564
796	2204	561
797	2206	558
798	2209	555
799	2211	552
800	2213	549
801	2215	547
802	2217	544
803	2219	541
804	2221	538
805	2224	535
806	2226	532
807	2228	529
808	2230	526
809	2232	523
810	2233	520
811	2235	517
812	2237	514
813	2238	511
814	2241	508
815	2243	505
816	2245	503
817	2248	500
818	2250	497
819	2252	494
820	2253	491
821	2255	488
822	2258	485
823	2260	482
824	2262	479
825	2264	476
826	2266	474
827	2267	471
828	2269	468
829	2272	465
830	2273	462
831	2275	459
832	2277	456
833	2279	453
834	2280	450
835	2282	447
836	2285	445
837	2287	442
838	2289	439
839	2290	436
840	2292	433
841	2294	430
842	2296	427
843	2298	424
844	2300	421
845	2302	419
846	2304	416
847	2306	413
848	2308	410
849	2310	407
850	2312	404
851	2314	402
852	2316	399
853	2318	396
854	2320	393
855	2322	390
856	2324	387
857	2326	385
858	2329	382
859	2331	379
860	2332	376
861	2334	373
862	2336	370
863	2338	368
864	2340	365
865	2342	362
866	2344	359
867	2346	356
868	2348	354
869	2350	351
870	2352	348
871	2354	345
872	2356	342
873	2358	339
874	2360	337
875	2362	334
876	2364	331
877	2365	328
878	2367	325
879	2369	323
880	2372	320
881	2374	317
882	2376	314
883	2378	312
884	2380	309
885	2382	306
886	2384	303
887	2386	300
888	2388	298
889	2390	295
890	2391	292
891	2393	289
892	2395	287
893	2397	284
894	2399	281
895	2400	278
896	2402	275
897	2404	273
898	2406	270
899	2407	267
900	2409	264
901	2411	262
902	2413	259
903	2414	256
904	2416	253
905	2418	250
906	2420	248
907	2421	245
908	2423	242
909	2425	239
910	2427	237
911	2429	234
912	2430	231
913	2432	228
914	2435	226
915	2437	223
916	2439	220
917	2441	218
918	2443	215
919	2445	212
920	2448	210
921	2450	207
922	2452	204
923	2454	201
924	2455	199
925	2457	196
926	2459	193
927	2461	190
928	2463	188
929	2466	185
930	2468	182
931	2471	180
932	2473	177
933	2476	175
934	2482	172
935	2485	169
936	2487	167
937	2489	164
938	2491	161
